Datos que encuentra el metodo de Euler(variable ind.	 variable dep.	 numero de thread)
 0.004000	 0.505000 	 numero de thread:0
0.008000	 0.510004 	 numero de thread:0
0.012000	 0.515012 	 numero de thread:0
0.016000	 0.520024 	 numero de thread:0
0.020000	 0.525040 	 numero de thread:0
0.024000	 0.530061 	 numero de thread:0
0.028000	 0.535085 	 numero de thread:0
0.032000	 0.540113 	 numero de thread:0
0.036000	 0.545146 	 numero de thread:0
0.040000	 0.550183 	 numero de thread:0
0.044000	 0.555224 	 numero de thread:0
0.048000	 0.560270 	 numero de thread:0
0.052000	 0.565319 	 numero de thread:0
0.056000	 0.570373 	 numero de thread:0
0.060000	 0.575432 	 numero de thread:0
0.064000	 0.580494 	 numero de thread:0
0.068000	 0.585561 	 numero de thread:0
0.072000	 0.590633 	 numero de thread:0
0.076000	 0.595709 	 numero de thread:0
0.080000	 0.600789 	 numero de thread:0
0.084000	 0.605874 	 numero de thread:0
0.088000	 0.610963 	 numero de thread:0
0.092000	 0.616057 	 numero de thread:0
0.096000	 0.621156 	 numero de thread:0
0.100000	 0.626259 	 numero de thread:0
0.104000	 0.631367 	 numero de thread:0
0.108000	 0.636479 	 numero de thread:0
0.112000	 0.641597 	 numero de thread:0
0.116000	 0.646718 	 numero de thread:0
0.120000	 0.651845 	 numero de thread:0
0.124000	 0.656977 	 numero de thread:0
0.128000	 0.662113 	 numero de thread:0
0.132000	 0.667254 	 numero de thread:0
0.136000	 0.672400 	 numero de thread:0
0.140000	 0.677551 	 numero de thread:0
0.144000	 0.682707 	 numero de thread:0
0.148000	 0.687867 	 numero de thread:0
0.152000	 0.693033 	 numero de thread:0
0.156000	 0.698204 	 numero de thread:0
0.160000	 0.703380 	 numero de thread:0
0.164000	 0.708561 	 numero de thread:0
0.168000	 0.713747 	 numero de thread:0
0.172000	 0.718939 	 numero de thread:0
0.176000	 0.724135 	 numero de thread:0
0.180000	 0.729337 	 numero de thread:0
0.184000	 0.734544 	 numero de thread:0
0.188000	 0.739757 	 numero de thread:0
0.192000	 0.744974 	 numero de thread:0
